Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,ballet-flat-nude,Ballet Flat Nude,Everyday Comfort,"A timeless nude ballet flat that offers all-day comfort. Perfect for work, shopping, or casual outings. Made from soft leather with a cushioned insole.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,600,,,,,,,,,,,TRUE,,,Nude,,,FALSE,TRUE,,,,,,,,,69.99,79.99,Size,36,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude-side.png
,ballet-flat-nude,Ballet Flat Nude,Everyday Comfort,"A timeless nude ballet flat that offers all-day comfort. Perfect for work, shopping, or casual outings. Made from soft leather with a cushioned insole.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,600,,,,,,,,,,,TRUE,,,Nude,,,FALSE,TRUE,,,,,,,,,69.99,79.99,Size,37,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude-side.png
,ballet-flat-nude,Ballet Flat Nude,Everyday Comfort,"A timeless nude ballet flat that offers all-day comfort. Perfect for work, shopping, or casual outings. Made from soft leather with a cushioned insole.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,600,,,,,,,,,,,TRUE,,,Nude,,,FALSE,TRUE,,,,,,,,,69.99,79.99,Size,38,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude-side.png
,ballet-flat-nude,Ballet Flat Nude,Everyday Comfort,"A timeless nude ballet flat that offers all-day comfort. Perfect for work, shopping, or casual outings. Made from soft leather with a cushioned insole.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,600,,,,,,,,,,,TRUE,,,Nude,,,FALSE,TRUE,,,,,,,,,69.99,79.99,Size,39,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude-side.png
,ballet-flat-nude,Ballet Flat Nude,Everyday Comfort,"A timeless nude ballet flat that offers all-day comfort. Perfect for work, shopping, or casual outings. Made from soft leather with a cushioned insole.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,600,,,,,,,,,,,TRUE,,,Nude,,,FALSE,TRUE,,,,,,,,,69.99,79.99,Size,40,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/ballet-flat-nude-side.png
,strappy-sandal-white,Strappy Sandal White,Summer Breeze,"A beautiful white strappy sandal perfect for summer events and beach vacations. Features adjustable ankle straps and a comfortable wedge heel.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,700,,,,,,,,,,,TRUE,,,White,,,FALSE,TRUE,,,,,,,,,79.99,89.99,Size,36,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white-side.png
,strappy-sandal-white,Strappy Sandal White,Summer Breeze,"A beautiful white strappy sandal perfect for summer events and beach vacations. Features adjustable ankle straps and a comfortable wedge heel.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,700,,,,,,,,,,,TRUE,,,White,,,FALSE,TRUE,,,,,,,,,79.99,89.99,Size,37,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white-side.png
,strappy-sandal-white,Strappy Sandal White,Summer Breeze,"A beautiful white strappy sandal perfect for summer events and beach vacations. Features adjustable ankle straps and a comfortable wedge heel.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,700,,,,,,,,,,,TRUE,,,White,,,FALSE,TRUE,,,,,,,,,79.99,89.99,Size,38,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white-side.png
,strappy-sandal-white,Strappy Sandal White,Summer Breeze,"A beautiful white strappy sandal perfect for summer events and beach vacations. Features adjustable ankle straps and a comfortable wedge heel.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,700,,,,,,,,,,,TRUE,,,White,,,FALSE,TRUE,,,,,,,,,79.99,89.99,Size,39,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white-side.png
,strappy-sandal-white,Strappy Sandal White,Summer Breeze,"A beautiful white strappy sandal perfect for summer events and beach vacations. Features adjustable ankle straps and a comfortable wedge heel.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,700,,,,,,,,,,,TRUE,,,White,,,FALSE,TRUE,,,,,,,,,79.99,89.99,Size,40,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/strappy-sandal-white-side.png 
